,l2,l1
0,exhaust-system-mobil,mobil
1,makanan,food
2,cd-vcd-dvd-blu-ray-player,elektronik
3,golf,olahraga
4,monitor,komputer
5,flash,kamera
6,baterai-681,elektronik
7,sandal-2038,fashion_wanita
8,perlengkapan-bayi-lainnya,perlengkapan_bayi
9,sarung-tangan-935,fashion_wanita
10,produk-perawatan-motor,motor
11,sweater,fashion_wanita
12,piyama-baju-tidur-2657,fashion_pria
13,home-stuff,rumah_tangga
14,safety,industrial
15,perlengkapan-kebersihan,rumah_tangga
16,mesin-mobil,mobil
17,bouncer-chair,perlengkapan_bayi
18,ikat-pinggang-1089,fashion_pria
19,wheel-hub-rims-dll,sepeda
20,hood-cap,kamera
21,printer,komputer
22,baby-carrier,perlengkapan_bayi
23,outwear,sepeda
24,jas,fashion_pria
25,makanan-minuman,tiket_voucher
26,part-generik,sepeda
27,drivetrain,sepeda
28,smartwatch,hp
29,bahan-kain,fashion_wanita
30,produk-kesehatan,kesehatan
31,jeans-1093,fashion_wanita
32,hp-smartphone,hp
33,celana,fashion_wanita
34,pakaian-dalam-lingerie,fashion_wanita
35,kacamata,fashion_wanita
36,perlengkapan-makan,perlengkapan_bayi
37,industrial-lainnya,industrial
38,filter,kamera
39,musik,hobi
40,topi,fashion_pria
41,tenis-meja,olahraga
42,kesehatan-mata,kesehatan
43,kesehatan-telinga,kesehatan
44,speaker,elektronik
45,pelangsing,perawatan_kecantikan
46,interior-mobil,mobil
47,anak-laki-laki,fashion_anak
48,women-s-perfume,perawatan_kecantikan
49,sweater-297,fashion_pria
50,aksesoris-mobil,mobil
51,cctv,kamera
52,jaket-284,fashion_wanita
53,steering,sepeda
54,tenis,olahraga
55,lensa,kamera
56,tas-pria,fashion_pria
57,aksesoris-motor,motor
58,tas-case,kamera
59,renang,olahraga
60,baterai,kamera
61,furniture-interior,rumah_tangga
62,jersey,fashion_pria
63,lari,olahraga
64,drone,kamera
65,kamera-analog,kamera
66,kamar-mandi,rumah_tangga
67,komponen-elektronik,elektronik
68,sarung-tangan,fashion_pria
69,aksesoris-kamera,kamera
70,fullbike,sepeda
71,berkebun,hobi
72,sepakbola-futsal,olahraga
73,pancing,olahraga
74,kaos-165,fashion_pria
75,travel-hiburan,tiket_voucher
76,memory-card,kamera
77,parfum,perawatan_kecantikan
78,dapur,rumah_tangga
79,pakaian-bayi,perlengkapan_bayi
80,topi-1096,fashion_wanita
81,headphone,elektronik
82,legging-stocking,fashion_wanita
83,desktop,komputer
84,kebaya,fashion_wanita
85,couple,fashion_anak
86,fork-suspension,sepeda
87,perhiasan-aksesoris,fashion_wanita
88,produk-kecantikan-lainnya,perawatan_kecantikan
89,anak-perempuan,fashion_anak
90,hair-care,perawatan_kecantikan
91,makanan-711,perlengkapan_bayi
92,kacamata-172,fashion_pria
93,headset-earphone,hp
94,strap,kamera
95,tools,industrial
96,baju-muslim-perlengkapan-sholat,fashion_pria
97,perlengkapan-studio,kamera
98,buku,hobi
99,portable-audio-player,elektronik
100,monopod-tripod-rig,kamera
101,kesehatan-mulut-gigi,kesehatan
102,dompet,fashion_wanita
103,nutrition-energy,sepeda
104,power-bank,hp
105,perawatan-wajah,perawatan_kecantikan
106,kartu-perdana,hp
107,mobil,mobil
108,perawatan-tubuh,perlengkapan_bayi
109,mainan,hobi
110,memory-card-194,kamera
111,frame,sepeda
112,action-camera,kamera
113,tempat-penyimpanan-organizer,rumah_tangga
114,alat-kesehatan,kesehatan
115,tiket-voucher-lainnya,tiket_voucher
116,jam,rumah_tangga
117,minuman,food
118,server,komputer
119,produk-kesehatan-lainnya,kesehatan
120,kaki-kaki-mobil,mobil
121,scanner,komputer
122,celana-299,fashion_pria
123,sepatu-16,fashion_wanita
124,badminton,olahraga
125,proyektor,elektronik
126,skateboard,olahraga
127,jeans,fashion_pria
128,home-theater,elektronik
129,outwear-motor,motor
130,payung,rumah_tangga
131,baju-hamil,fashion_wanita
132,tablet,hp
133,audio-mobil,mobil
134,ruang-makan,rumah_tangga
135,sparepart-motor,motor
136,media-player-set-top-box,elektronik
137,basket,olahraga
138,produk-kecantikan,perawatan_kecantikan
139,softlens,perawatan_kecantikan
140,elektronik-1111,rumah_tangga
141,stroller-walker,perlengkapan_bayi
142,eksterior-mobil,mobil
143,perawatan-tubuh-2311,perawatan_kecantikan
144,kaos,fashion_wanita
145,kaus-kaki-1116,fashion_wanita
146,televisi,elektronik
147,bahan-kain-2002,fashion_pria
148,hunting,olahraga
149,video-game,hobi
150,kemeja,fashion_pria
151,adventure,olahraga
152,alat-tulis-kantor,perlengkapan_kantor
153,perlengkapan-tidur,perlengkapan_bayi
154,perhiasan-aksesoris-170,fashion_pria
155,anak-unisex,fashion_anak
156,saddle-seatpost,sepeda
157,sparepart-kamera,kamera
158,exercise-fitness,olahraga
159,feeding-nursing,perlengkapan_bayi
160,spy-cam,kamera
161,remote-trigger,kamera
162,brake,sepeda
163,voice-recorder,elektronik
164,sandal,fashion_pria
165,bikini,fashion_wanita
166,jam-tangan-171,fashion_pria
167,peralatan-medis-laboratori,industrial
168,kamera-digital,kamera
169,rok,fashion_wanita
170,polo-shirt,fashion_pria
171,dompet-302,fashion_pria
172,jilbab-2571,fashion_wanita
173,pakaian-dalam,fashion_pria
174,men-s-perfume,perawatan_kecantikan
175,furniture,perlengkapan_bayi
176,alat-kantor,perlengkapan_kantor
177,busana-muslim,fashion_anak
178,mainan-663,perlengkapan_bayi
179,produk-perawatan-mobil,mobil
180,polo-shirt-1099,fashion_wanita
181,charger,kamera
182,mini-pc,komputer
183,jaket,fashion_pria
184,jam-tangan,fashion_wanita
185,pet-food-stuff,hobi
186,hardware,komputer
187,software-original,komputer
188,tas-wanita,fashion_wanita
189,diapering,perlengkapan_bayi
190,perkakas-rumah-tangga,rumah_tangga
191,mesin,industrial
192,aksesoris-handphone,hp
193,kemeja-blouse,fashion_wanita
194,bumbu,food
195,sepatu-169,fashion_pria
196,kesehatan-wanita,kesehatan
197,dairy-products,food
198,personal-care-lainnya,perawatan_kecantikan
199,kamar-tidur,rumah_tangga
200,handycam,kamera
201,outdoor,olahraga
202,surfing-diving,olahraga
203,bolero-cardigan,fashion_wanita
204,ikat-pinggang,fashion_wanita
205,converter-adapter,kamera
206,motor,motor
207,cemilan-snack,food
208,virtual-reality,hp
209,makeup,perawatan_kecantikan
210,obat-suplemen,kesehatan
211,spare-part-tools-handphone,hp
212,elektronik-lainnya,elektronik
213,olahraga-lainnya,olahraga
214,walkie-talkie,elektronik
215,roller-skate,olahraga
216,bahan-mentah,food
217,baju-muslim-perlengkapan-sholat-2555,fashion_wanita
218,aksesoris-226,komputer
219,men-s-grooming,perawatan_kecantikan
220,laptop,komputer
221,koleksi,hobi
222,batu-cincin,hobi
223,radio-tape,elektronik
224,aksesoris-tv-video,elektronik
225,jumpsuit,fashion_wanita
226,piyama-baju-tidur,fashion_wanita
227,kaus-kaki,fashion_pria
228,gembok-kunci-pengaman,rumah_tangga
229,dress,fashion_wanita
230,perlengkapan-mandi,perlengkapan_bayi
231,equipment-tools,sepeda
232,gps,elektronik
233,sendal-294,fashion_wanita
